# valor_entrada, encoder_rodaEsquerda, encoder_rodaDireita, dt
78,0,0,0.1
78,-136,146,0.1
78,-200,210,0.1
78,-200,211,0.1
78,-200,211,0.1
57,-200,210,0.1
57,-158,163,0.1
57,-139,143,0.1
57,-136,141,0.1
57,-136,142,0.1
0,-136,141,0.1
0,-24,23,0.1
0,0,0,0.1
0,0,0,0.1
0,0,0,0.1
186,0,0,0.1
186,-350,373,0.1
186,-538,553,0.1
186,-553,567,0.1
186,-555,570,0.1
238,-556,573,0.1
238,-651,673,0.1
238,-705,735,0.1
238,-720,747,0.1
238,-723,752,0.1
148,-726,752,0.1
148,-543,557,0.1
148,-436,448,0.1
148,-428,440,0.1
148,-429,438,0.1
29,-428,437,0.1
29,-176,177,0.1
29,-55,58,0.1
29,-49,53,0.1
29,-50,54,0.1
159,-50,54,0.1
159,-314,330,0.1
159,-451,464,0.1
159,-461,472,0.1
159,-463,473,0.1
56,-463,475,0.1
56,-246,248,0.1
56,-140,143,0.1
56,-134,140,0.1
56,-133,140,0.1
242,-133,139,0.1
242,-503,525,0.1
242,-705,737,0.1
242,-733,758,0.1
242,-737,761,0.1
57,-741,762,0.1
57,-356,352,0.1
57,-148,152,0.1
57,-137,144,0.1
57,-137,146,0.1
179,-136,147,0.1
179,-385,407,0.1
179,-517,539,0.1
179,-528,547,0.1
179,-531,547,0.1
89,-533,548,0.1
89,-343,344,0.1
89,-244,249,0.1
89,-236,245,0.1
89,-238,245,0.1
48,-237,244,0.1
48,-150,155,0.1
48,-111,118,0.1
48,-109,116,0.1
48,-109,116,0.1
184,-110,117,0.1
184,-385,405,0.1
184,-533,551,0.1
184,-547,559,0.1
184,-549,562,0.1
4,-549,563,0.1
4,-162,149,0.1
4,0,0,0.1
4,0,0,0.1
4,0,0,0.1
129,0,0,0.1
129,-238,251,0.1
129,-355,367,0.1
129,-363,372,0.1
129,-365,372,0.1
69,-364,371,0.1
69,-238,242,0.1
69,-177,185,0.1
69,-174,182,0.1
69,-173,181,0.1
229,-175,182,0.1
229,-493,514,0.1
229,-668,685,0.1
229,-689,706,0.1
229,-694,713,0.1
36,-698,714,0.1
36,-294,276,0.1
36,-82,85,0.1
36,-72,78,0.1
36,-72,77,0.1
30,-72,78,0.1
30,-59,64,0.1
30,-54,58,0.1
30,-54,59,0.1
30,-54,59,0.1
237,-54,59,0.1
237,-469,488,0.1
237,-693,725,0.1
237,-725,747,0.1
237,-1470,1498,0.1
173,-738,750,0.1
173,-604,612,0.1
173,-525,531,0.1
173,-519,525,0.1
173,-520,526,0.1
191,-520,523,0.1
191,-556,564,0.1
191,-577,587,0.1
191,-579,588,0.1
191,-581,586,0.1
205,-582,585,0.1
205,-610,613,0.1
205,-627,631,0.1
205,-624,633,0.1
205,-623,636,0.1
216,-621,636,0.1
216,-635,657,0.1
216,-652,669,0.1
216,-658,670,0.1
216,-658,669,0.1
140,-659,668,0.1
140,-502,507,0.1
140,-413,417,0.1
140,-403,411,0.1
140,-404,410,0.1
215,-404,410,0.1
215,-557,565,0.1
215,-641,657,0.1
215,-653,666,0.1
215,-655,667,0.1
90,-655,669,0.1
90,-398,377,0.1
90,-252,252,0.1
90,-243,242,0.1
90,-243,244,0.1
198,-241,245,0.1
198,-461,473,0.1
198,-586,595,0.1
198,-598,600,0.1
198,-601,602,0.1
18,-599,604,0.1
18,-213,207,0.1
18,-26,25,0.1
18,-18,18,0.1
18,-18,21,0.1
235,-17,22,0.1
235,-454,466,0.1
235,-690,707,0.1
235,-720,733,0.1
235,-725,734,0.1
77,-729,733,0.1
77,-396,371,0.1
77,-213,214,0.1
77,-200,206,0.1
77,-200,201,0.1
32,-200,200,0.1
32,-105,106,0.1
32,-64,66,0.1
32,-61,63,0.1
32,-62,63,0.1
159,-62,65,0.1
159,-321,333,0.1
159,-454,465,0.1
159,-467,473,0.1
159,-470,471,0.1
205,-470,471,0.1
205,-566,566,0.1
205,-620,628,0.1
205,-622,637,0.1
205,-622,637,0.1
250,-622,638,0.1
250,-709,724,0.1
250,-767,778,0.1
250,-772,786,0.1
250,-775,786,0.1
171,-778,788,0.1
171,-615,531,0.1
171,-520,523,0.1
171,-511,516,0.1
171,-513,516,0.1
205,-511,517,0.1
205,-583,583,0.1
205,-623,630,0.1
205,-623,636,0.1
205,-624,637,0.1
171,-624,635,0.1
171,-553,562,0.1
171,-512,518,0.1
171,-510,515,0.1
171,-511,516,0.1
189,-511,517,0.1
189,-549,555,0.1
189,-571,577,0.1
189,-571,580,0.1
189,-573,582,0.1
237,-575,580,0.1
237,-666,669,0.1
237,-726,726,0.1
237,-734,738,0.1
237,-736,743,0.1
15,-735,744,0.1
15,-263,255,0.1
15,-20,22,0.1
15,-8,13,0.1
15,-9,13,0.1
247,-8,15,0.1
247,-474,481,0.1
247,-737,749,0.1
247,-766,774,0.1
247,-770,778,0.1
167,-771,780,0.1
167,-610,608,0.1
167,-509,508,0.1
167,-499,502,0.1
167,-501,503,0.1
118,-501,501,0.1
118,-396,396,0.1
118,-341,340,0.1
118,-336,337,0.1
118,-336,336,0.1
189,-336,336,0.1
189,-481,488,0.1
189,-563,571,0.1
189,-573,578,0.1
189,-575,579,0.1
197,-1150,1155,0.1
197,-592,596,0.1
197,-603,601,0.1
197,-601,600,0.1
197,-599,600,0.1
205,-600,600,0.1
205,-616,621,0.1
205,-625,636,0.1
205,-623,639,0.1
205,-623,640,0.1
75,-624,640,0.1
75,-353,342,0.1
75,-207,207,0.1
75,-200,200,0.1
75,-199,200,0.1
