# valor_entrada, encoder_rodaEsquerda, encoder_rodaDireita, dt
106,36,33,0.1
106,187,193,0.1
106,280,281,0.1
106,286,289,0.1
106,284,295,0.1
148,285,293,0.1
148,370,382,0.1
148,415,426,0.1
148,421,377,0.1
148,419,427,0.1
218,417,426,0.1
218,556,474,0.1
218,635,643,0.1
218,645,630,0.1
218,646,664,0.1
119,645,665,0.1
119,450,449,0.1
119,335,341,0.1
119,325,335,0.1
119,327,336,0.1
98,325,333,0.1
98,282,290,0.1
98,260,268,0.1
98,257,265,0.1
98,256,266,0.1
18,257,265,0.1
18,90,89,0.1
18,15,23,0.1
18,11,19,0.1
18,12,20,0.1
229,12,18,0.1
229,420,430,0.1
229,648,676,0.1
229,673,671,0.1
229,666,683,0.1
164,673,670,0.1
164,553,548,0.1
164,477,480,0.1
164,473,447,0.1
164,471,475,0.1
136,470,470,0.1
136,413,409,0.1
136,380,388,0.1
136,376,387,0.1
136,377,386,0.1
78,378,385,0.1
78,259,253,0.1
78,201,205,0.1
78,200,200,0.1
78,200,200,0.1
223,200,200,0.1
223,480,455,0.1
223,640,651,0.1
223,657,670,0.1
223,657,671,0.1
223,657,658,0.1
223,656,649,0.1
223,655,670,0.1
223,659,669,0.1
223,653,655,0.1
110,656,641,0.1
110,436,408,0.1
110,306,306,0.1
110,296,300,0.1
110,296,300,0.1
91,296,300,0.1
91,257,261,0.1
91,238,242,0.1
91,237,242,0.1
91,236,242,0.1
173,237,242,0.1
173,397,399,0.1
173,488,493,0.1
173,497,495,0.1
173,495,498,0.1
186,497,495,0.1
186,523,523,0.1
186,537,525,0.1
186,539,536,0.1
186,539,541,0.1
131,539,538,0.1
131,427,428,0.1
131,364,370,0.1
131,361,367,0.1
131,361,367,0.1
122,360,367,0.1
122,342,348,0.1
122,334,338,0.1
122,334,336,0.1
122,333,338,0.1
53,333,328,0.1
53,193,195,0.1
53,124,126,0.1
53,119,126,0.1
53,121,125,0.1
183,121,125,0.1
183,378,389,0.1
183,517,519,0.1
183,531,533,0.1
183,531,532,0.1
46,533,536,0.1
46,250,230,0.1
46,107,110,0.1
46,100,105,0.1
46,100,104,0.1
154,100,104,0.1
154,315,324,0.1
154,426,432,0.1
154,436,438,0.1
154,435,440,0.1
51,436,440,0.1
51,224,224,0.1
51,120,123,0.1
51,115,119,0.1
51,113,119,0.1
15,114,119,0.1
15,37,40,0.1
15,4,11,0.1
15,0,8,0.1
15,0,6,0.1
183,0,6,0.1
183,331,351,0.1
183,511,528,0.1
183,529,538,0.1
183,531,534,0.1
205,525,534,0.1
205,574,575,0.1
205,600,602,0.1
205,600,605,0.1
205,599,604,0.1
83,600,613,0.1
83,353,352,0.1
83,219,224,0.1
83,212,216,0.1
83,212,217,0.1
0,210,217,0.1
0,45,43,0.1
0,0,0,0.1
0,0,0,0.1
0,0,0,0.1
203,0,0,0.1
203,373,381,0.1
203,580,586,0.1
203,599,602,0.1
203,600,602,0.1
247,599,602,0.1
247,678,664,0.1
247,729,715,0.1
247,738,721,0.1
247,739,634,0.1
9,741,720,0.1
9,249,194,0.1
9,3,3,0.1
9,0,0,0.1
9,0,0,0.1
180,0,0,0.1
180,333,337,0.1
180,511,524,0.1
180,525,532,0.1
180,527,532,0.1
212,525,525,0.1
212,590,586,0.1
212,621,634,0.1
212,625,639,0.1
212,627,637,0.1
4,628,631,0.1
4,194,171,0.1
4,0,0,0.1
4,0,0,0.1
4,0,0,0.1
165,0,0,0.1
165,303,301,0.1
165,462,471,0.1
165,475,479,0.1
165,474,480,0.1
68,475,479,0.1
68,276,275,0.1
68,174,177,0.1
68,169,172,0.1
68,169,171,0.1
174,169,173,0.1
174,380,390,0.1
174,495,497,0.1
174,503,505,0.1
174,505,509,0.1
65,505,505,0.1
65,279,269,0.1
65,166,169,0.1
65,160,163,0.1
65,159,162,0.1
28,160,162,0.1
28,82,82,0.1
28,47,50,0.1
28,46,49,0.1
28,47,50,0.1
10,46,50,0.1
10,9,11,0.1
10,0,0,0.1
10,0,0,0.1
10,0,0,0.1
120,0,0,0.1
120,218,216,0.1
120,325,330,0.1
120,333,334,0.1
120,333,335,0.1
81,332,334,0.1
81,253,253,0.1
81,212,210,0.1
81,208,210,0.1
81,209,209,0.1
196,209,209,0.1
196,435,418,0.1
196,564,559,0.1
196,579,562,0.1
196,578,564,0.1
124,581,559,0.1
124,432,431,0.1
124,350,354,0.1
124,345,347,0.1
124,344,346,0.1
157,344,346,0.1
157,411,408,0.1
157,448,444,0.1
157,450,449,0.1
157,450,446,0.1
107,451,446,0.1
107,347,342,0.1
107,296,295,0.1
107,289,290,0.1
107,289,290,0.1
251,289,290,0.1
251,566,486,0.1
251,730,723,0.1
251,747,740,0.1
251,751,751,0.1
34,752,758,0.1
34,311,244,0.1
34,78,78,0.1
34,67,67,0.1
34,67,66,0.1
197,66,67,0.1
197,391,352,0.1
197,567,571,0.1
197,584,556,0.1
197,587,586,0.1
127,586,583,0.1
127,440,424,0.1
127,362,361,0.1
127,354,356,0.1
127,354,355,0.1
