# valor_entrada, encoder_rodaEsquerda, encoder_rodaDireita, dt
152,191,143,0.1
152,253,211,0.1
152,383,342,0.1
152,417,319,0.1
152,427,342,0.1
63,431,342,0.1
63,258,233,0.1
63,168,165,0.1
63,147,142,0.1
63,146,84,0.1
77,145,126,0.1
77,169,145,0.1
77,186,122,0.1
77,187,142,0.1
77,191,158,0.1
252,189,175,0.1
252,505,446,0.1
252,687,593,0.1
252,723,645,0.1
252,733,632,0.1
27,741,573,0.1
27,307,272,0.1
27,75,69,0.1
27,51,50,0.1
27,36,34,0.1
167,35,33,0.1
167,286,252,0.1
167,428,371,0.1
167,459,359,0.1
167,472,363,0.1
173,470,380,0.1
173,480,403,0.1
173,488,413,0.1
173,491,401,0.1
173,493,406,0.1
103,492,408,0.1
103,356,297,0.1
103,287,247,0.1
103,267,224,0.1
103,270,214,0.1
216,270,175,0.1
216,466,391,0.1
216,589,473,0.1
216,606,554,0.1
216,619,542,0.1
175,628,556,0.1
175,553,493,0.1
175,508,429,0.1
175,503,396,0.1
175,496,355,0.1
31,493,417,0.1
31,216,184,0.1
31,78,76,0.1
31,51,51,0.1
31,47,49,0.1
200,45,50,0.1
200,350,319,0.1
200,522,372,0.1
200,559,494,0.1
200,573,501,0.1
201,581,501,0.1
201,583,494,0.1
201,584,505,0.1
201,586,495,0.1
201,584,460,0.1
98,583,523,0.1
98,390,332,0.1
98,276,247,0.1
98,260,217,0.1
98,252,213,0.1
81,248,211,0.1
81,221,199,0.1
81,208,195,0.1
81,199,174,0.1
81,204,157,0.1
12,191,142,0.1
12,68,58,0.1
12,3,5,0.1
12,0,0,0.1
12,0,1,0.1
171,0,0,0.1
171,281,243,0.1
171,420,368,0.1
171,452,411,0.1
171,479,390,0.1
91,480,414,0.1
91,336,285,0.1
91,250,218,0.1
91,235,196,0.1
91,232,201,0.1
158,231,188,0.1
158,343,287,0.1
158,422,351,0.1
158,434,360,0.1
158,441,372,0.1
180,438,340,0.1
180,478,391,0.1
180,501,427,0.1
180,506,410,0.1
180,506,402,0.1
193,511,441,0.1
193,534,452,0.1
193,551,468,0.1
193,553,477,0.1
193,551,485,0.1
33,560,445,0.1
33,247,207,0.1
33,88,76,0.1
33,60,56,0.1
33,50,55,0.1
12,50,53,0.1
12,14,16,0.1
12,0,2,0.1
12,0,0,0.1
12,0,0,0.1
150,0,0,0.1
150,241,218,0.1
150,366,325,0.1
150,403,340,0.1
150,419,337,0.1
52,417,303,0.1
52,228,181,0.1
52,133,128,0.1
52,113,111,0.1
52,110,110,0.1
105,111,107,0.1
105,201,178,0.1
105,261,232,0.1
105,268,222,0.1
105,272,196,0.1
114,272,235,0.1
114,284,218,0.1
114,294,218,0.1
114,298,259,0.1
114,300,263,0.1
90,295,248,0.1
90,260,220,0.1
90,231,180,0.1
90,223,177,0.1
90,217,207,0.1
226,224,192,0.1
226,462,411,0.1
226,610,512,0.1
226,637,534,0.1
226,646,570,0.1
178,652,576,0.1
178,570,518,0.1
178,522,460,0.1
178,508,446,0.1
178,507,415,0.1
219,505,371,0.1
219,574,499,0.1
219,616,584,0.1
219,624,563,0.1
219,628,569,0.1
116,639,579,0.1
116,441,401,0.1
116,335,269,0.1
116,318,258,0.1
116,314,262,0.1
101,308,245,0.1
101,280,229,0.1
101,263,223,0.1
101,256,219,0.1
101,257,208,0.1
29,261,199,0.1
29,127,109,0.1
29,52,44,0.1
29,38,36,0.1
29,38,34,0.1
53,39,35,0.1
53,78,77,0.1
53,107,102,0.1
53,114,97,0.1
53,116,108,0.1
242,110,113,0.1
242,448,423,0.1
242,643,527,0.1
242,677,611,0.1
242,700,608,0.1
56,706,652,0.1
56,358,290,0.1
56,162,140,0.1
56,137,116,0.1
56,125,110,0.1
237,125,111,0.1
237,443,379,0.1
237,630,533,0.1
237,662,590,0.1
237,680,601,0.1
13,694,593,0.1
13,258,209,0.1
13,32,26,0.1
13,8,8,0.1
13,0,0,0.1
237,0,0,0.1
237,401,339,0.1
237,622,548,0.1
237,652,561,0.1
237,678,586,0.1
22,685,635,0.1
22,274,219,0.1
22,55,50,0.1
22,37,28,0.1
22,12,17,0.1
53,15,23,0.1
53,73,72,0.1
53,108,98,0.1
53,111,107,0.1
53,112,102,0.1
250,111,111,0.1
250,459,418,0.1
250,665,606,0.1
250,705,613,0.1
250,722,678,0.1
154,725,615,0.1
154,556,472,0.1
154,454,419,0.1
154,433,303,0.1
154,431,396,0.1
44,431,381,0.1
44,220,200,0.1
44,111,84,0.1
44,86,82,0.1
44,84,80,0.1
123,82,84,0.1
123,217,201,0.1
123,298,250,0.1
123,325,241,0.1
123,326,251,0.1
240,328,262,0.1
240,533,464,0.1
240,660,564,0.1
240,679,574,0.1
240,695,583,0.1
217,701,603,0.1
217,658,562,0.1
217,634,546,0.1
217,635,557,0.1
217,627,516,0.1
121,630,544,0.1
121,453,403,0.1
121,346,278,0.1
121,330,242,0.1
121,322,258,0.1
55,319,250,0.1
55,202,168,0.1
55,132,117,0.1
55,120,115,0.1
55,117,109,0.1
