# valor_entrada, encoder_rodaEsquerda, encoder_rodaDireita, dt
240,8,0,0.1
240,474,471,0.1
240,717,732,0.1
240,734,770,0.1
240,738,771,0.1
18,737,773,0.1
18,266,290,0.1
18,29,36,0.1
18,18,26,0.1
18,18,26,0.1
220,18,25,0.1
220,438,444,0.1
220,657,680,0.1
220,674,716,0.1
220,674,722,0.1
119,675,722,0.1
119,467,508,0.1
119,345,375,0.1
119,335,354,0.1
119,336,352,0.1
107,337,349,0.1
107,309,326,0.1
107,300,314,0.1
107,299,311,0.1
107,297,310,0.1
65,294,306,0.1
65,206,216,0.1
65,165,172,0.1
65,164,168,0.1
65,164,167,0.1
196,164,167,0.1
196,431,433,0.1
196,571,594,0.1
196,584,613,0.1
196,586,619,0.1
203,587,625,0.1
203,602,634,0.1
203,608,641,0.1
203,609,639,0.1
203,608,639,0.1
115,607,637,0.1
115,423,461,0.1
115,325,346,0.1
115,319,333,0.1
115,319,330,0.1
97,318,329,0.1
97,280,290,0.1
97,262,272,0.1
97,261,271,0.1
97,261,270,0.1
53,261,269,0.1
53,170,180,0.1
53,127,132,0.1
53,125,128,0.1
53,125,128,0.1
97,124,127,0.1
97,216,218,0.1
97,259,267,0.1
97,262,270,0.1
97,263,269,0.1
57,261,267,0.1
57,179,185,0.1
57,139,142,0.1
57,137,139,0.1
57,137,137,0.1
249,138,139,0.1
249,519,527,0.1
249,720,768,0.1
249,746,802,0.1
249,750,807,0.1
135,754,809,0.1
135,530,579,0.1
135,395,430,0.1
135,380,411,0.1
135,379,407,0.1
69,380,404,0.1
69,244,266,0.1
69,179,189,0.1
69,172,183,0.1
69,174,184,0.1
129,175,182,0.1
129,298,306,0.1
129,357,372,0.1
129,361,376,0.1
129,361,378,0.1
173,362,373,0.1
173,449,466,0.1
173,496,524,0.1
173,500,535,0.1
173,501,535,0.1
205,503,535,0.1
205,568,599,0.1
205,607,642,0.1
205,610,649,0.1
205,613,652,0.1
216,616,650,0.1
216,639,668,0.1
216,651,680,0.1
216,653,684,0.1
216,654,687,0.1
136,654,691,0.1
136,492,533,0.1
136,396,427,0.1
136,386,415,0.1
136,384,410,0.1
36,384,407,0.1
36,175,197,0.1
36,76,81,0.1
36,71,73,0.1
36,71,75,0.1
58,71,76,0.1
58,118,123,0.1
58,140,146,0.1
58,142,149,0.1
58,141,151,0.1
65,142,149,0.1
65,155,164,0.1
65,161,169,0.1
65,163,169,0.1
65,162,168,0.1
139,163,170,0.1
139,313,329,0.1
139,388,413,0.1
139,393,418,0.1
139,393,418,0.1
45,394,417,0.1
45,198,221,0.1
45,104,112,0.1
45,100,105,0.1
45,100,105,0.1
205,100,106,0.1
205,422,425,0.1
205,593,619,0.1
205,612,654,0.1
205,618,660,0.1
93,620,663,0.1
93,387,423,0.1
93,260,277,0.1
93,251,261,0.1
93,251,262,0.1
198,250,261,0.1
198,462,463,0.1
198,577,600,0.1
198,592,625,0.1
198,592,629,0.1
179,593,630,0.1
179,555,595,0.1
179,533,570,0.1
179,529,566,0.1
179,529,565,0.1
201,529,566,0.1
201,575,606,0.1
201,603,637,0.1
201,607,642,0.1
201,608,642,0.1
110,604,645,0.1
110,413,452,0.1
110,311,332,0.1
110,302,322,0.1
110,301,320,0.1
79,299,320,0.1
79,238,253,0.1
79,207,217,0.1
79,205,214,0.1
79,205,214,0.1
244,205,211,0.1
244,534,523,0.1
244,714,712,0.1
244,734,742,0.1
244,742,748,0.1
193,742,758,0.1
193,649,683,0.1
193,595,631,0.1
193,579,625,0.1
193,577,623,0.1
248,579,622,0.1
248,684,728,0.1
248,748,797,0.1
248,755,807,0.1
248,758,810,0.1
130,760,810,0.1
130,528,570,0.1
130,383,410,0.1
130,367,394,0.1
130,365,392,0.1
241,363,392,0.1
241,583,624,0.1
241,711,767,0.1
241,727,785,0.1
241,732,788,0.1
80,733,790,0.1
80,409,448,0.1
80,222,238,0.1
80,209,220,0.1
80,210,218,0.1
81,209,216,0.1
81,211,218,0.1
81,213,221,0.1
81,213,220,0.1
81,212,219,0.1
179,212,218,0.1
179,412,414,0.1
179,515,541,0.1
179,527,556,0.1
179,528,558,0.1
18,530,560,0.1
18,193,216,0.1
18,25,31,0.1
18,17,21,0.1
18,17,21,0.1
160,16,20,0.1
160,310,312,0.1
160,459,465,0.1
160,470,482,0.1
160,470,483,0.1
77,470,488,0.1
77,297,317,0.1
77,208,215,0.1
77,201,204,0.1
77,200,200,0.1
189,200,200,0.1
189,428,431,0.1
189,553,577,0.1
189,566,599,0.1
189,569,600,0.1
139,570,600,0.1
139,466,496,0.1
139,408,428,0.1
139,400,418,0.1
139,399,413,0.1
2,401,414,0.1
2,107,122,0.1
2,0,0,0.1
2,0,0,0.1
2,0,0,0.1
151,0,0,0.1
151,288,290,0.1
151,434,452,0.1
151,444,467,0.1
151,445,468,0.1
146,444,466,0.1
146,434,455,0.1
146,429,448,0.1
146,428,450,0.1
146,428,448,0.1
152,427,446,0.1
152,439,456,0.1
152,446,462,0.1
152,446,463,0.1
152,446,463,0.1
