# valor_entrada, encoder_rodaEsquerda, encoder_rodaDireita, dt
255,0,0,0.1
255,465,514,0.1
255,726,789,0.1
255,754,818,0.1
255,759,822,0.1
47,756,691,0.1
47,343,320,0.1
47,116,129,0.1
47,102,118,0.1
47,101,117,0.1
154,101,117,0.1
154,307,343,0.1
154,415,458,0.1
154,425,413,0.1
154,427,426,0.1
122,425,389,0.1
122,359,340,0.1
122,326,231,0.1
122,322,265,0.1
122,322,353,0.1
244,320,286,0.1
244,546,431,0.1
244,683,490,0.1
244,703,434,0.1
244,707,359,0.1
73,711,671,0.1
73,378,318,0.1
73,187,195,0.1
73,175,186,0.1
73,176,165,0.1
96,176,195,0.1
96,218,86,0.1
96,242,238,0.1
96,242,220,0.1
96,243,204,0.1
250,242,197,0.1
250,528,550,0.1
250,701,757,0.1
250,721,781,0.1
250,725,793,0.1
74,727,787,0.1
74,391,331,0.1
74,192,178,0.1
74,179,189,0.1
74,179,188,0.1
244,178,185,0.1
244,495,354,0.1
244,686,518,0.1
244,708,489,0.1
244,709,468,0.1
205,713,492,0.1
205,647,545,0.1
205,602,525,0.1
205,599,502,0.1
205,600,523,0.1
148,600,467,0.1
148,485,353,0.1
148,412,415,0.1
148,406,408,0.1
148,404,369,0.1
88,402,287,0.1
88,285,205,0.1
88,222,147,0.1
88,219,237,0.1
88,218,169,0.1
233,219,205,0.1
233,492,429,0.1
233,659,688,0.1
233,677,668,0.1
233,681,728,0.1
108,683,735,0.1
108,440,433,0.1
108,293,321,0.1
108,281,308,0.1
108,280,307,0.1
172,279,307,0.1
172,404,434,0.1
172,472,514,0.1
172,479,499,0.1
172,479,508,0.1
119,480,517,0.1
119,377,241,0.1
119,319,237,0.1
119,312,235,0.1
119,312,234,0.1
222,312,324,0.1
222,506,452,0.1
222,628,616,0.1
222,647,680,0.1
222,650,739,0.1
167,651,699,0.1
167,547,573,0.1
167,475,517,0.1
167,468,506,0.1
167,470,503,0.1
122,469,508,0.1
122,380,404,0.1
122,327,355,0.1
122,323,353,0.1
122,323,353,0.1
105,321,342,0.1
105,289,314,0.1
105,270,297,0.1
105,270,296,0.1
105,269,296,0.1
209,268,296,0.1
209,458,371,0.1
209,578,598,0.1
209,598,652,0.1
209,600,659,0.1
234,600,627,0.1
234,650,649,0.1
234,681,690,0.1
234,686,627,0.1
234,687,398,0.1
156,689,419,0.1
156,542,483,0.1
156,447,483,0.1
156,437,473,0.1
156,437,465,0.1
204,436,472,0.1
204,524,538,0.1
204,581,572,0.1
204,588,606,0.1
204,590,613,0.1
165,590,639,0.1
165,511,545,0.1
165,467,505,0.1
165,464,486,0.1
165,463,499,0.1
150,464,499,0.1
150,434,454,0.1
150,418,451,0.1
150,415,442,0.1
150,415,438,0.1
95,415,445,0.1
95,305,324,0.1
95,246,267,0.1
95,241,264,0.1
95,242,264,0.1
206,241,263,0.1
206,454,480,0.1
206,578,572,0.1
206,593,613,0.1
206,595,630,0.1
100,601,610,0.1
100,387,329,0.1
100,268,283,0.1
100,259,279,0.1
100,257,276,0.1
105,258,280,0.1
105,266,291,0.1
105,273,291,0.1
105,272,295,0.1
105,272,297,0.1
185,274,298,0.1
185,428,432,0.1
185,515,492,0.1
185,523,499,0.1
185,524,529,0.1
139,526,550,0.1
139,438,403,0.1
139,385,387,0.1
139,381,404,0.1
139,381,387,0.1
186,381,372,0.1
186,474,467,0.1
186,524,543,0.1
186,531,537,0.1
186,531,499,0.1
147,532,523,0.1
147,456,409,0.1
147,415,409,0.1
147,409,433,0.1
147,406,369,0.1
87,407,374,0.1
87,286,193,0.1
87,224,114,0.1
87,219,145,0.1
87,219,223,0.1
189,220,156,0.1
189,417,422,0.1
189,526,494,0.1
189,537,540,0.1
189,540,500,0.1
45,540,583,0.1
45,253,269,0.1
45,102,83,0.1
45,94,57,0.1
45,94,83,0.1
100,93,107,0.1
100,203,212,0.1
100,256,261,0.1
100,260,272,0.1
100,260,281,0.1
113,260,272,0.1
113,285,308,0.1
113,300,292,0.1
113,300,261,0.1
113,299,203,0.1
94,301,199,0.1
94,262,233,0.1
94,243,255,0.1
94,239,247,0.1
94,241,258,0.1
143,240,263,0.1
143,338,280,0.1
143,389,371,0.1
143,395,410,0.1
143,395,403,0.1
3,396,407,0.1
3,109,92,0.1
3,0,0,0.1
3,0,0,0.1
3,0,0,0.1
209,0,0,0.1
209,378,360,0.1
209,591,474,0.1
209,613,626,0.1
209,621,654,0.1
214,622,655,0.1
214,634,643,0.1
214,642,587,0.1
214,642,625,0.1
214,643,662,0.1
103,645,690,0.1
103,424,404,0.1
103,288,316,0.1
103,278,282,0.1
103,276,236,0.1
127,276,269,0.1
127,324,335,0.1
127,349,350,0.1
127,352,354,0.1
127,351,361,0.1
182,351,322,0.1
182,458,435,0.1
182,519,568,0.1
182,524,476,0.1
182,526,489,0.1
31,526,461,0.1
31,222,211,0.1
31,64,70,0.1
31,56,64,0.1
31,55,57,0.1
98,55,65,0.1
98,189,196,0.1
98,256,265,0.1
98,261,279,0.1
98,261,237,0.1
