# valor_entrada, encoder_rodaEsquerda, encoder_rodaDireita, dt
230,62,53,0.1
230,394,345,0.1
230,592,475,0.1
230,632,571,0.1
230,650,575,0.1
5,651,528,0.1
5,217,188,0.1
5,5,5,0.1
5,0,0,0.1
5,0,0,0.1
140,0,0,0.1
140,223,202,0.1
140,344,326,0.1
140,358,337,0.1
140,362,330,0.1
237,360,358,0.1
237,539,393,0.1
237,648,578,0.1
237,655,598,0.1
237,665,583,0.1
36,668,627,0.1
36,292,327,0.1
36,95,99,0.1
36,64,81,0.1
36,56,71,0.1
243,56,70,0.1
243,430,389,0.1
243,631,507,0.1
243,656,566,0.1
243,674,570,0.1
170,682,602,0.1
170,553,498,0.1
170,475,440,0.1
170,455,431,0.1
170,451,463,0.1
114,435,393,0.1
114,348,352,0.1
114,289,252,0.1
114,270,255,0.1
114,271,237,0.1
3,274,256,0.1
3,71,72,0.1
3,0,0,0.1
3,0,0,0.1
3,0,0,0.1
70,0,0,0.1
70,84,101,0.1
70,140,141,0.1
70,152,164,0.1
70,153,155,0.1
194,151,164,0.1
194,375,337,0.1
194,475,479,0.1
194,508,476,0.1
194,517,550,0.1
71,517,455,0.1
71,295,286,0.1
71,175,169,0.1
71,151,186,0.1
71,151,163,0.1
191,155,174,0.1
191,370,345,0.1
191,467,445,0.1
191,501,476,0.1
191,506,521,0.1
241,509,483,0.1
241,596,525,0.1
241,657,594,0.1
241,668,638,0.1
241,674,658,0.1
90,676,618,0.1
90,402,346,0.1
90,240,208,0.1
90,213,198,0.1
90,202,204,0.1
162,202,171,0.1
162,331,320,0.1
162,407,380,0.1
162,412,353,0.1
162,421,401,0.1
214,415,386,0.1
214,510,444,0.1
214,568,534,0.1
214,582,571,0.1
214,585,530,0.1
41,588,543,0.1
41,265,220,0.1
41,101,113,0.1
41,71,93,0.1
41,67,84,0.1
50,65,84,0.1
50,80,99,0.1
50,91,111,0.1
50,92,112,0.1
50,94,107,0.1
169,96,112,0.1
169,301,246,0.1
169,422,374,0.1
169,437,422,0.1
169,442,380,0.1
221,445,385,0.1
221,540,464,0.1
221,602,548,0.1
221,612,551,0.1
221,620,585,0.1
194,620,563,0.1
194,566,520,0.1
194,535,475,0.1
194,523,534,0.1
194,523,484,0.1
56,523,495,0.1
56,269,259,0.1
56,138,129,0.1
56,116,122,0.1
56,112,127,0.1
118,111,125,0.1
118,217,204,0.1
118,276,268,0.1
118,284,259,0.1
118,287,287,0.1
22,282,263,0.1
22,113,103,0.1
22,24,43,0.1
22,18,26,0.1
22,8,21,0.1
76,5,22,0.1
76,103,114,0.1
76,157,171,0.1
76,167,164,0.1
76,163,156,0.1
252,164,173,0.1
252,483,422,0.1
252,661,578,0.1
252,689,595,0.1
252,700,595,0.1
7,704,676,0.1
7,241,238,0.1
7,8,13,0.1
7,0,0,0.1
7,0,0,0.1
21,0,0,0.1
21,7,17,0.1
21,12,26,0.1
21,17,20,0.1
21,9,24,0.1
80,7,21,0.1
80,109,123,0.1
80,171,180,0.1
80,183,159,0.1
80,182,190,0.1
117,179,175,0.1
117,226,187,0.1
117,286,260,0.1
117,289,290,0.1
117,282,283,0.1
78,286,292,0.1
78,215,212,0.1
78,173,175,0.1
78,170,176,0.1
78,173,180,0.1
64,174,186,0.1
64,152,161,0.1
64,135,154,0.1
64,129,145,0.1
64,131,145,0.1
172,133,122,0.1
172,323,312,0.1
172,434,408,0.1
172,447,408,0.1
172,454,430,0.1
153,451,423,0.1
153,422,395,0.1
153,394,342,0.1
153,387,363,0.1
153,391,356,0.1
150,394,372,0.1
150,385,372,0.1
150,384,359,0.1
150,384,335,0.1
150,381,385,0.1
23,385,304,0.1
23,151,162,0.1
23,38,51,0.1
23,16,33,0.1
23,19,24,0.1
210,20,27,0.1
210,352,294,0.1
210,535,479,0.1
210,561,523,0.1
210,575,505,0.1
230,581,577,0.1
230,620,551,0.1
230,645,582,0.1
230,650,572,0.1
230,651,593,0.1
205,650,615,0.1
205,609,595,0.1
205,578,539,0.1
205,567,535,0.1
205,566,543,0.1
251,565,542,0.1
251,627,569,0.1
251,697,662,0.1
251,709,678,0.1
251,710,643,0.1
15,712,685,0.1
15,272,244,0.1
15,34,46,0.1
15,12,22,0.1
15,3,8,0.1
70,2,0,0.1
70,92,94,0.1
70,144,155,0.1
70,156,148,0.1
70,161,164,0.1
6,157,172,0.1
6,41,45,0.1
6,0,0,0.1
6,0,0,0.1
6,0,0,0.1
118,0,0,0.1
118,183,172,0.1
118,276,247,0.1
118,293,283,0.1
118,294,285,0.1
65,289,272,0.1
65,201,195,0.1
65,149,170,0.1
65,142,135,0.1
65,143,144,0.1
132,137,140,0.1
132,252,240,0.1
132,327,303,0.1
132,328,324,0.1
132,333,311,0.1
232,334,314,0.1
232,513,465,0.1
232,630,531,0.1
232,648,600,0.1
232,655,618,0.1
182,658,630,0.1
182,570,547,0.1
182,505,471,0.1
182,500,446,0.1
182,485,429,0.1
197,492,445,0.1
197,508,456,0.1
197,456,548,0.1
197,535,496,0.1
197,533,500,0.1
