# valor_entrada, encoder_rodaEsquerda, encoder_rodaDireita, dt
50,0,0,0.1
50,-65,71,0.1
50,-97,109,0.1
50,-105,113,0.1
50,-107,112,0.1
251,-110,113,0.1
251,-483,395,0.1
251,-692,562,0.1
251,-730,567,0.1
251,-752,608,0.1
37,-762,677,0.1
37,-336,297,0.1
37,-108,92,0.1
37,-85,85,0.1
37,-65,73,0.1
14,-64,70,0.1
14,-21,27,0.1
14,-1,2,0.1
14,0,1,0.1
14,0,0,0.1
64,0,1,0.1
64,-81,91,0.1
64,-137,146,0.1
64,-150,153,0.1
64,-153,135,0.1
26,-152,138,0.1
26,-80,80,0.1
26,-34,40,0.1
26,-27,35,0.1
26,-30,35,0.1
32,-28,33,0.1
32,-42,46,0.1
32,-49,52,0.1
32,-48,54,0.1
32,-49,54,0.1
166,-48,54,0.1
166,-294,290,0.1
166,-437,390,0.1
166,-465,394,0.1
166,-482,365,0.1
252,-481,392,0.1
252,-638,525,0.1
252,-729,574,0.1
252,-747,628,0.1
252,-762,691,0.1
158,-766,662,0.1
158,-594,473,0.1
158,-485,416,0.1
158,-465,416,0.1
158,-456,382,0.1
207,-458,406,0.1
207,-543,420,0.1
207,-600,468,0.1
207,-609,493,0.1
207,-615,448,0.1
220,-618,457,0.1
220,-644,547,0.1
220,-657,532,0.1
220,-658,529,0.1
220,-660,534,0.1
0,-661,530,0.1
0,-216,158,0.1
0,-1,0,0.1
0,0,0,0.1
0,0,0,0.1
114,0,0,0.1
114,-178,157,0.1
114,-275,256,0.1
114,-300,279,0.1
114,-304,281,0.1
40,-310,290,0.1
40,-170,146,0.1
40,-92,89,0.1
40,-76,79,0.1
40,-76,80,0.1
161,-76,78,0.1
161,-293,286,0.1
161,-420,387,0.1
161,-451,399,0.1
161,-462,409,0.1
237,-459,396,0.1
237,-600,475,0.1
237,-682,526,0.1
237,-698,503,0.1
237,-708,630,0.1
218,-717,577,0.1
218,-683,609,0.1
218,-659,550,0.1
218,-656,529,0.1
218,-657,523,0.1
216,-654,550,0.1
216,-651,530,0.1
216,-649,492,0.1
216,-650,546,0.1
216,-649,534,0.1
150,-650,528,0.1
150,-529,425,0.1
150,-449,376,0.1
150,-437,381,0.1
150,-429,365,0.1
149,-431,353,0.1
149,-423,348,0.1
149,-431,342,0.1
149,-427,370,0.1
149,-429,322,0.1
36,-425,378,0.1
36,-205,149,0.1
36,-89,81,0.1
36,-67,68,0.1
36,-62,68,0.1
209,-123,136,0.1
209,-377,385,0.1
209,-563,493,0.1
209,-602,453,0.1
209,-616,464,0.1
79,-626,466,0.1
79,-374,305,0.1
79,-232,203,0.1
79,-211,212,0.1
79,-200,178,0.1
0,-194,178,0.1
0,-46,37,0.1
0,0,35,0.1
0,0,0,0.1
0,0,0,0.1
253,0,0,0.1
253,-436,391,0.1
253,-687,571,0.1
253,-725,577,0.1
253,-750,666,0.1
139,-761,667,0.1
139,-548,482,0.1
139,-424,351,0.1
139,-405,324,0.1
139,-399,314,0.1
224,-392,308,0.1
224,-547,431,0.1
224,-640,511,0.1
224,-658,535,0.1
224,-670,548,0.1
232,-676,498,0.1
232,-685,533,0.1
232,-697,589,0.1
232,-702,604,0.1
232,-700,560,0.1
166,-699,555,0.1
166,-582,473,0.1
166,-504,425,0.1
166,-486,380,0.1
166,-484,400,0.1
233,-477,404,0.1
233,-597,494,0.1
233,-671,545,0.1
233,-689,536,0.1
233,-698,557,0.1
248,-700,564,0.1
248,-729,602,0.1
248,-747,607,0.1
248,-749,663,0.1
248,-754,648,0.1
46,-754,682,0.1
46,-358,302,0.1
46,-140,118,0.1
46,-113,78,0.1
46,-98,87,0.1
109,-97,98,0.1
109,-206,198,0.1
109,-280,256,0.1
109,-289,255,0.1
109,-291,261,0.1
193,-297,251,0.1
193,-440,383,0.1
193,-538,486,0.1
193,-557,518,0.1
193,-565,458,0.1
225,-565,446,0.1
225,-625,518,0.1
225,-665,534,0.1
225,-667,567,0.1
225,-673,498,0.1
98,-677,541,0.1
98,-435,357,0.1
98,-289,246,0.1
98,-273,230,0.1
98,-265,247,0.1
99,-257,238,0.1
99,-254,235,0.1
99,-258,235,0.1
99,-259,234,0.1
99,-254,222,0.1
148,-261,232,0.1
148,-348,281,0.1
148,-405,349,0.1
148,-420,356,0.1
148,-416,373,0.1
135,-421,371,0.1
135,-399,338,0.1
135,-382,326,0.1
135,-383,318,0.1
135,-374,324,0.1
199,-379,318,0.1
199,-488,433,0.1
199,-563,427,0.1
199,-583,506,0.1
199,-589,452,0.1
238,-591,479,0.1
238,-654,479,0.1
238,-699,575,0.1
238,-710,550,0.1
238,-715,576,0.1
35,-717,598,0.1
35,-324,249,0.1
35,-107,90,0.1
35,-75,73,0.1
35,-64,64,0.1
9,-62,64,0.1
9,-14,16,0.1
9,0,0,0.1
9,0,0,0.1
9,0,0,0.1
128,0,0,0.1
128,-206,199,0.1
128,-315,279,0.1
128,-343,291,0.1
128,-360,294,0.1
33,-357,262,0.1
33,-173,144,0.1
33,-78,70,0.1
33,-56,61,0.1
33,-51,59,0.1
176,-54,58,0.1
176,-313,279,0.1
176,-456,428,0.1
176,-500,428,0.1
176,-505,454,0.1
11,-511,446,0.1
11,-179,147,0.1
11,-18,13,0.1
11,-1,1,0.1
11,0,0,0.1
126,0,0,0.1
126,-204,201,0.1
126,-314,260,0.1
126,-335,294,0.1
126,-351,285,0.1
95,-351,270,0.1
95,-292,255,0.1
95,-261,233,0.1
95,-249,224,0.1
95,-245,228,0.1
