# valor_entrada, encoder_rodaEsquerda, encoder_rodaDireita, dt
187,-43,40,0.1
187,-361,372,0.1
187,-556,568,0.1
187,-569,583,0.1
187,-569,582,0.1
83,-572,583,0.1
83,-349,336,0.1
83,-232,235,0.1
83,-225,229,0.1
83,-224,228,0.1
93,-225,228,0.1
93,-246,249,0.1
93,-256,258,0.1
93,-257,257,0.1
93,-257,258,0.1
149,-258,256,0.1
149,-372,375,0.1
149,-434,436,0.1
149,-439,439,0.1
149,-440,441,0.1
135,-439,441,0.1
135,-410,409,0.1
135,-400,394,0.1
135,-399,395,0.1
135,-400,394,0.1
164,-401,394,0.1
164,-454,455,0.1
164,-485,489,0.1
164,-487,490,0.1
164,-488,489,0.1
139,-487,489,0.1
139,-436,434,0.1
139,-404,406,0.1
139,-399,405,0.1
139,-401,405,0.1
21,-400,403,0.1
21,-149,144,0.1
21,-32,36,0.1
21,-27,32,0.1
21,-27,31,0.1
185,-27,31,0.1
185,-361,372,0.1
185,-542,547,0.1
185,-557,563,0.1
185,-561,566,0.1
208,-560,565,0.1
208,-609,608,0.1
208,-632,641,0.1
208,-633,645,0.1
208,-634,643,0.1
175,-635,647,0.1
175,-571,577,0.1
175,-531,534,0.1
175,-526,530,0.1
175,-527,525,0.1
167,-527,522,0.1
167,-507,503,0.1
167,-498,494,0.1
167,-499,492,0.1
167,-497,491,0.1
161,-498,488,0.1
161,-486,473,0.1
161,-478,462,0.1
161,-477,471,0.1
161,-476,472,0.1
229,-477,471,0.1
229,-613,593,0.1
229,-692,686,0.1
229,-700,703,0.1
229,-703,707,0.1
143,-709,710,0.1
143,-530,529,0.1
143,-428,424,0.1
143,-418,412,0.1
143,-418,410,0.1
183,-418,409,0.1
183,-499,488,0.1
183,-546,542,0.1
183,-549,548,0.1
183,-551,547,0.1
226,-551,548,0.1
226,-635,635,0.1
226,-683,693,0.1
226,-692,698,0.1
226,-694,698,0.1
120,-697,698,0.1
120,-479,444,0.1
120,-353,351,0.1
120,-344,340,0.1
120,-341,341,0.1
131,-342,341,0.1
131,-363,363,0.1
131,-375,375,0.1
131,-375,375,0.1
131,-750,748,0.1
240,-376,373,0.1
240,-593,597,0.1
240,-720,738,0.1
240,-740,749,0.1
240,-744,753,0.1
249,-743,751,0.1
249,-763,770,0.1
249,-766,779,0.1
249,-771,784,0.1
249,-773,783,0.1
71,-776,783,0.1
71,-406,365,0.1
71,-198,199,0.1
71,-186,188,0.1
71,-185,188,0.1
151,-185,186,0.1
151,-350,354,0.1
151,-437,440,0.1
151,-445,447,0.1
151,-443,446,0.1
28,-442,447,0.1
28,-182,180,0.1
28,-55,56,0.1
28,-49,52,0.1
28,-50,52,0.1
208,-49,51,0.1
208,-412,429,0.1
208,-619,627,0.1
208,-633,644,0.1
208,-634,649,0.1
231,-634,651,0.1
231,-676,691,0.1
231,-708,717,0.1
231,-713,725,0.1
231,-713,727,0.1
60,-712,727,0.1
60,-355,308,0.1
60,-162,163,0.1
60,-150,156,0.1
60,-150,154,0.1
98,-150,154,0.1
98,-229,233,0.1
98,-268,270,0.1
98,-270,272,0.1
98,-269,271,0.1
249,-269,271,0.1
249,-568,585,0.1
249,-748,765,0.1
249,-768,781,0.1
249,-771,783,0.1
116,-774,785,0.1
116,-501,498,0.1
116,-337,342,0.1
116,-327,332,0.1
116,-327,330,0.1
69,-329,330,0.1
69,-228,226,0.1
69,-180,182,0.1
69,-176,181,0.1
69,-177,179,0.1
251,-177,180,0.1
251,-537,542,0.1
251,-749,761,0.1
251,-775,783,0.1
251,-779,787,0.1
201,-778,788,0.1
201,-679,688,0.1
201,-618,630,0.1
201,-614,624,0.1
201,-613,623,0.1
32,-615,622,0.1
32,-256,210,0.1
32,-72,74,0.1
32,-62,67,0.1
32,-62,66,0.1
98,-61,67,0.1
98,-199,207,0.1
98,-265,269,0.1
98,-269,273,0.1
98,-270,272,0.1
148,-269,270,0.1
148,-372,378,0.1
148,-427,432,0.1
148,-433,435,0.1
148,-434,435,0.1
166,-432,436,0.1
166,-470,474,0.1
166,-488,492,0.1
166,-491,495,0.1
166,-490,494,0.1
199,-490,493,0.1
199,-559,563,0.1
199,-599,606,0.1
199,-599,607,0.1
199,-601,607,0.1
190,-600,608,0.1
190,-585,590,0.1
190,-575,581,0.1
190,-575,583,0.1
190,-577,584,0.1
198,-577,586,0.1
198,-595,604,0.1
198,-600,609,0.1
198,-599,610,0.1
198,-599,609,0.1
240,-600,609,0.1
240,-680,693,0.1
240,-734,743,0.1
240,-742,747,0.1
240,-742,747,0.1
103,-745,752,0.1
103,-460,456,0.1
103,-298,299,0.1
103,-287,289,0.1
103,-287,288,0.1
128,-286,288,0.1
128,-337,341,0.1
128,-364,368,0.1
128,-365,369,0.1
128,-365,369,0.1
17,-365,369,0.1
17,-129,134,0.1
17,-19,22,0.1
17,-15,17,0.1
17,-14,17,0.1
43,-15,20,0.1
43,-163,176,0.1
43,-96,99,0.1
43,-96,101,0.1
43,-96,100,0.1
161,-96,99,0.1
161,-335,347,0.1
161,-464,471,0.1
161,-474,479,0.1
161,-474,480,0.1
14,-474,480,0.1
14,-163,161,0.1
14,-11,14,0.1
14,-4,6,0.1
14,0,6,0.1
119,0,5,0.1
119,-219,226,0.1
119,-331,335,0.1
119,-337,340,0.1
119,-337,340,0.1
154,-335,338,0.1
154,-409,414,0.1
154,-448,452,0.1
154,-450,455,0.1
154,-451,456,0.1
138,-451,455,0.1
138,-416,419,0.1
138,-399,402,0.1
138,-400,401,0.1
138,-400,400,0.1
