# valor_entrada, encoder_rodaEsquerda, encoder_rodaDireita, dt
90,1,0,0.1
90,149,163,0.1
90,225,240,0.1
90,228,240,0.1
90,226,239,0.1
80,227,240,0.1
80,205,216,0.1
80,201,208,0.1
80,200,208,0.1
80,200,208,0.1
211,200,207,0.1
211,449,456,0.1
211,597,607,0.1
211,614,626,0.1
211,617,627,0.1
182,617,632,0.1
182,563,548,0.1
182,526,531,0.1
182,525,531,0.1
182,525,534,0.1
227,522,532,0.1
227,607,614,0.1
227,656,671,0.1
227,661,678,0.1
227,662,686,0.1
155,661,680,0.1
155,526,527,0.1
155,440,452,0.1
155,431,446,0.1
155,430,447,0.1
254,432,447,0.1
254,618,637,0.1
254,731,758,0.1
254,748,768,0.1
254,750,770,0.1
37,752,773,0.1
37,314,293,0.1
37,82,86,0.1
37,70,76,0.1
37,70,75,0.1
172,71,76,0.1
172,334,347,0.1
172,473,492,0.1
172,487,501,0.1
172,487,503,0.1
210,488,503,0.1
210,564,584,0.1
210,608,628,0.1
210,614,631,0.1
210,616,632,0.1
252,611,631,0.1
252,685,711,0.1
252,738,758,0.1
252,746,763,0.1
252,747,764,0.1
188,746,764,0.1
188,623,636,0.1
188,551,567,0.1
188,545,560,0.1
188,545,560,0.1
245,546,558,0.1
245,649,656,0.1
245,711,735,0.1
245,719,743,0.1
245,723,744,0.1
155,723,745,0.1
155,548,557,0.1
155,443,455,0.1
155,435,448,0.1
155,433,448,0.1
131,435,449,0.1
131,385,395,0.1
131,360,369,0.1
131,356,367,0.1
131,358,368,0.1
53,357,365,0.1
53,200,201,0.1
53,123,129,0.1
53,119,127,0.1
53,118,126,0.1
83,119,126,0.1
83,177,188,0.1
83,207,216,0.1
83,207,217,0.1
83,206,217,0.1
76,208,216,0.1
76,190,203,0.1
76,187,200,0.1
76,186,200,0.1
76,187,200,0.1
165,186,200,0.1
165,355,380,0.1
165,454,472,0.1
165,464,477,0.1
165,467,480,0.1
86,465,480,0.1
86,309,311,0.1
86,223,230,0.1
86,217,226,0.1
86,216,226,0.1
80,217,227,0.1
80,204,214,0.1
80,200,209,0.1
80,200,208,0.1
80,200,209,0.1
36,200,208,0.1
36,110,114,0.1
36,68,74,0.1
36,67,74,0.1
36,64,73,0.1
188,65,73,0.1
188,355,375,0.1
188,521,536,0.1
188,538,547,0.1
188,542,553,0.1
206,542,550,0.1
206,570,587,0.1
206,595,608,0.1
206,601,606,0.1
206,600,611,0.1
50,600,610,0.1
50,287,273,0.1
50,119,123,0.1
50,109,114,0.1
50,109,114,0.1
237,109,113,0.1
237,461,486,0.1
237,663,687,0.1
237,684,705,0.1
237,686,706,0.1
24,687,709,0.1
24,272,239,0.1
24,44,45,0.1
24,30,36,0.1
24,31,36,0.1
5,29,36,0.1
5,3,4,0.1
5,0,0,0.1
5,0,0,0.1
5,0,0,0.1
85,0,0,0.1
85,142,154,0.1
85,212,221,0.1
85,215,226,0.1
85,215,225,0.1
127,214,224,0.1
127,296,310,0.1
127,342,352,0.1
127,345,355,0.1
127,345,354,0.1
119,346,355,0.1
119,329,337,0.1
119,319,331,0.1
119,319,328,0.1
119,319,328,0.1
224,320,328,0.1
224,514,476,0.1
224,633,657,0.1
224,650,672,0.1
224,652,673,0.1
147,654,674,0.1
147,507,512,0.1
147,417,425,0.1
147,410,418,0.1
147,408,418,0.1
164,406,417,0.1
164,440,449,0.1
164,460,465,0.1
164,462,467,0.1
164,463,465,0.1
26,461,466,0.1
26,187,175,0.1
26,42,45,0.1
26,34,39,0.1
26,33,41,0.1
189,33,42,0.1
189,347,372,0.1
189,526,538,0.1
189,544,549,0.1
189,547,553,0.1
125,545,554,0.1
125,417,419,0.1
125,345,355,0.1
125,338,349,0.1
125,338,349,0.1
229,338,348,0.1
229,536,550,0.1
229,653,659,0.1
229,667,677,0.1
229,671,687,0.1
142,669,689,0.1
142,502,474,0.1
142,402,408,0.1
142,400,402,0.1
142,401,397,0.1
235,400,401,0.1
235,573,578,0.1
235,676,681,0.1
235,687,693,0.1
235,689,703,0.1
90,687,702,0.1
90,405,398,0.1
90,244,248,0.1
90,230,240,0.1
90,230,240,0.1
110,229,239,0.1
110,269,281,0.1
110,290,300,0.1
110,293,300,0.1
110,293,300,0.1
223,292,300,0.1
223,509,515,0.1
223,639,649,0.1
223,651,654,0.1
223,649,646,0.1
14,650,665,0.1
14,232,214,0.1
14,10,13,0.1
14,0,5,0.1
14,0,6,0.1
236,0,7,0.1
236,426,404,0.1
236,668,684,0.1
236,692,711,0.1
236,696,716,0.1
13,694,720,0.1
13,245,195,0.1
13,9,12,0.1
13,0,4,0.1
13,0,0,0.1
246,0,0,0.1
246,448,407,0.1
246,700,688,0.1
246,725,717,0.1
246,733,731,0.1
10,735,733,0.1
10,252,228,0.1
10,4,6,0.1
10,0,0,0.1
10,0,0,0.1
92,0,0,0.1
92,159,164,0.1
92,233,243,0.1
92,241,247,0.1
92,240,248,0.1
70,241,246,0.1
70,195,198,0.1
70,174,179,0.1
70,172,180,0.1
70,172,177,0.1
