# valor_entrada, encoder_rodaEsquerda, encoder_rodaDireita, dt
105,163,169,0.1
105,158,201,0.1
105,222,231,0.1
105,260,242,0.1
105,264,247,0.1
63,255,244,0.1
63,188,177,0.1
63,142,145,0.1
63,138,135,0.1
63,134,153,0.1
112,137,148,0.1
112,222,236,0.1
112,272,264,0.1
112,272,280,0.1
112,271,250,0.1
195,279,254,0.1
195,426,376,0.1
195,508,483,0.1
195,525,469,0.1
195,530,512,0.1
134,528,538,0.1
134,424,412,0.1
134,354,335,0.1
134,341,343,0.1
134,340,330,0.1
93,337,325,0.1
93,265,265,0.1
93,213,223,0.1
93,212,214,0.1
93,214,201,0.1
66,219,215,0.1
66,172,194,0.1
66,141,155,0.1
66,141,147,0.1
66,140,147,0.1
65,145,153,0.1
65,142,146,0.1
65,140,143,0.1
65,142,126,0.1
65,137,158,0.1
254,141,152,0.1
254,405,430,0.1
254,667,546,0.1
254,701,600,0.1
254,616,632,0.1
142,714,694,0.1
142,521,478,0.1
142,400,376,0.1
142,371,365,0.1
142,363,355,0.1
241,358,315,0.1
241,534,475,0.1
241,654,554,0.1
241,671,565,0.1
241,678,607,0.1
177,681,643,0.1
177,570,562,0.1
177,494,473,0.1
177,472,469,0.1
177,470,441,0.1
158,457,460,0.1
158,437,398,0.1
158,414,360,0.1
158,414,375,0.1
158,406,409,0.1
168,410,400,0.1
168,431,425,0.1
168,441,423,0.1
168,443,416,0.1
168,419,374,0.1
127,446,398,0.1
127,360,354,0.1
127,312,291,0.1
127,317,314,0.1
127,318,299,0.1
128,320,313,0.1
128,315,260,0.1
128,315,308,0.1
128,318,312,0.1
128,313,292,0.1
193,320,335,0.1
193,435,414,0.1
193,500,461,0.1
193,512,477,0.1
193,515,484,0.1
12,519,525,0.1
12,185,204,0.1
12,13,24,0.1
12,0,4,0.1
12,0,0,0.1
130,0,0,0.1
130,193,202,0.1
130,309,287,0.1
130,323,288,0.1
130,329,300,0.1
241,325,287,0.1
241,527,439,0.1
241,652,583,0.1
241,675,623,0.1
241,676,618,0.1
82,679,651,0.1
82,395,361,0.1
82,211,197,0.1
82,181,186,0.1
82,189,153,0.1
207,188,156,0.1
207,404,299,0.1
207,540,435,0.1
207,559,504,0.1
207,567,498,0.1
88,571,494,0.1
88,354,322,0.1
88,229,213,0.1
88,201,197,0.1
88,200,183,0.1
125,199,217,0.1
125,268,226,0.1
125,308,286,0.1
125,310,282,0.1
125,308,270,0.1
16,301,313,0.1
16,114,135,0.1
16,13,27,0.1
16,0,6,0.1
16,0,0,0.1
12,0,0,0.1
12,0,0,0.1
12,0,0,0.1
12,0,0,0.1
12,0,0,0.1
203,0,0,0.1
203,331,312,0.1
203,511,411,0.1
203,544,475,0.1
203,558,505,0.1
93,558,548,0.1
93,360,322,0.1
93,245,235,0.1
93,227,203,0.1
93,211,214,0.1
192,215,176,0.1
192,394,380,0.1
192,501,434,0.1
192,514,453,0.1
192,517,469,0.1
84,522,491,0.1
84,323,304,0.1
84,214,206,0.1
84,193,170,0.1
84,197,185,0.1
213,194,213,0.1
213,423,366,0.1
213,560,485,0.1
213,582,541,0.1
213,591,524,0.1
63,557,553,0.1
63,314,299,0.1
63,166,172,0.1
63,137,150,0.1
63,136,141,0.1
97,131,135,0.1
97,186,178,0.1
97,226,214,0.1
97,232,217,0.1
97,231,219,0.1
103,221,201,0.1
103,244,229,0.1
103,238,224,0.1
103,235,238,0.1
103,243,222,0.1
191,244,206,0.1
191,411,307,0.1
191,494,417,0.1
191,508,461,0.1
191,514,447,0.1
183,517,459,0.1
183,503,462,0.1
183,490,449,0.1
183,494,456,0.1
183,490,449,0.1
253,498,443,0.1
253,613,587,0.1
253,689,634,0.1
253,708,610,0.1
253,708,683,0.1
28,715,723,0.1
28,304,301,0.1
28,78,88,0.1
28,50,65,0.1
28,36,46,0.1
12,34,43,0.1
12,10,13,0.1
12,0,0,0.1
12,0,0,0.1
12,0,0,0.1
105,0,0,0.1
105,158,154,0.1
105,249,205,0.1
105,244,213,0.1
105,249,238,0.1
208,259,211,0.1
208,446,382,0.1
208,553,487,0.1
208,571,471,0.1
208,577,568,0.1
48,581,555,0.1
48,281,257,0.1
48,123,130,0.1
48,97,114,0.1
48,94,105,0.1
74,95,103,0.1
74,135,154,0.1
74,164,159,0.1
74,164,177,0.1
74,163,165,0.1
119,165,160,0.1
119,244,234,0.1
119,297,242,0.1
119,296,255,0.1
119,299,266,0.1
2,296,266,0.1
2,80,98,0.1
2,0,0,0.1
2,0,0,0.1
2,0,0,0.1
238,0,0,0.1
238,376,344,0.1
238,603,524,0.1
238,653,569,0.1
238,668,588,0.1
111,676,626,0.1
111,451,447,0.1
111,310,257,0.1
111,277,197,0.1
111,279,225,0.1
36,273,254,0.1
36,136,149,0.1
36,66,84,0.1
36,57,67,0.1
36,57,64,0.1
85,57,66,0.1
85,139,142,0.1
85,189,190,0.1
85,198,189,0.1
85,197,180,0.1
17,193,167,0.1
17,81,85,0.1
17,13,19,0.1
17,7,9,0.1
17,10,16,0.1
